Fiscal Quarter,Region,State,Bank Group,Population Group,No of Offices,Deposit,Credit,Actual District (Not Decoded),District Code,Census Flag
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,11,2339.784,1382.182,SHIVPURI,737,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,11,2343.707,2001.023,WEST NIMAR,722,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,11,3072.507,2646.851,BARWANI,723,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,11,3287.977,2196.313,SAGAR,705,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,12,4282.636,1839.481,BETUL,717,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,13,2833.551,2283.361,SHAJAPUR,732,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,14,6157.338,4070.525,DHAR,724,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,15,2955.829,2090.553,RAJGARH,734,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Semi-urban,17,6805.566,5352.291,HOSHANGABAD,716,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,3,3484.576,3788.112,MORENA,738,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,4,1718.172,1670.25,BURHANPUR,725,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,4,1780.209,592.543,NEEMUCH,729,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,4,1959.273,1349.541,VIDISHA,735,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,4,2658.855,1232.051,BHIND,739,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,4,3164.711,1161.464,DAMOH,708,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,4,3198.276,954.799,SHIVPURI,737,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,2021.406,1182.553,WEST NIMAR,722,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,2500.12,1021.274,GUNA,736,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,2564.866,1284.519,MANDSAUR,728,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,2648.347,1738.058,EAST NIMAR,718,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,2761.435,1479.391,CHHATARPUR,744,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,2837.232,1446.631,CHHINDWARA,715,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,5,5078.596,2698.723,DEWAS,719,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,6,4947.493,1940.967,REWA,747,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,7,3614.714,1477.452,SATNA,746,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,7,25312.395,1009.244,SINGRAULI,295,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,8,4014.418,2137.699,KATNI,709,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,10,10720.04,4855.222,SAGAR,705,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,12,4993.055,3339.398,RATLAM,727,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,12,7128.835,3445.964,UJJAIN,730,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,30,20309.002,11482.502,GWALIOR,740,2001
2009-10:Q3,CENTRAL REGION,MADHYA PRADESH,SBI AND ITS ASSOCIATES,Urban,35,23695.165,9455.263,JABALPUR,710,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Metropolitan,1,207.376,0,ALLAHABAD,220,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Metropolitan,1,3569.163,858.447,KANPUR NAGAR,210,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Metropolitan,4,2746.323,588.895,LUCKNOW,200,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Rural,1,4.241,0,AGRA,260,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Rural,1,27.478,0,MORADABAD,278,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Urban,1,0.317,0,MATHURA,262,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Urban,1,174.843,0.444,MORADABAD,278,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,FOREIGN BANKS,Urban,5,14406.143,834.477,GAUTAM BUDDHA NAGAR,271,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Metropolitan,105,57452.198,14114.514,ALLAHABAD,220,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Metropolitan,106,50891.132,23993.002,MEERUT,270,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Metropolitan,123,57779.246,31067.46,AGRA,260,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Metropolitan,127,64761.005,19881.299,VARANASI,230,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Metropolitan,224,115272.395,49610.088,KANPUR NAGAR,210,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Metropolitan,318,281183.37,142140.823,LUCKNOW,200,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,3,312.814,287.895,JYOTIBA PHULE NAGAR,279,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,4,291.741,379.582,KANAUJ,255,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,4,323.085,260.909,CHITRAKOOT,207,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,5,276.924,233.21,KANSHIRAM NAGAR,299,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,6,550.088,589.948,FARRUKHABAD,254,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,6,765.409,839.989,MAHOBA,217,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,7,617.193,516.946,ETAH,266,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,9,998.103,456.042,ETAWAH,256,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,9,1575.384,1027.351,MAINPURI,258,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,10,506.946,590.604,MORADABAD,278,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,10,1862.293,441.271,SANT KABIR NAGAR,227,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,10,1906.086,672.653,KANPUR NAGAR,210,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,12,1261.586,1640.207,HATHRAS,263,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,12,1319.209,1836.818,LALITPUR,213,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,12,1430.62,602.648,MAHARAJGANJ,225,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,13,1185.416,1292.676,HAMIRPUR,216,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,14,1143.021,1089.526,BANDA,218,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,14,1560.489,1439.348,FIROZABAD,203,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,14,1603.506,478.339,AURAIYA,259,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,14,1905.207,1507.997,JHANSI,214,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,15,1806.15,724.413,KAUSHAMBI,221,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,16,2099.636,1370.446,BAGHPAT,275,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,16,2192.853,546.15,SIDHARTHANAGAR,257,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,16,3920.088,868.133,SANT RAVIDAS NAGAR,231,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,18,2263.832,1545.044,SHRAVASTI,246,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,18,3720.59,991.662,CHANDAULI,229,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,19,1399.478,1799.505,JALAUN,212,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,19,3812.364,1291.29,FAIZABAD,224,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,20,1389.5,1885.642,BUDAUN,267,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,20,2028.437,2087.16,ALIGARH,264,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,20,2655.619,983.299,BALRAMPUR,241,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,20,5278.872,980.52,VARANASI,230,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,21,1597.335,1691.684,SITAPUR,245,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,21,2932.026,2082.894,BARA BANKI,202,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,22,2529.597,1246.021,FATEHPUR,208,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,22,2913.708,2006.298,BAHRAICH,244,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,22,3513.074,1556.651,BASTI,242,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,22,4257.886,1448.656,AMBEDKAR NAGAR,215,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,24,4605.35,1236.388,BALLIA,235,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,26,5447.045,1049.56,MAU,253,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,27,1622.63,1777.097,RAMPUR,280,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,27,15955.802,3703.141,GAUTAM BUDDHA NAGAR,271,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,28,2766.851,1992.432,BAREILLY,250,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,28,4961.169,1210.574,PRATAPGARH,222,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,30,2065.718,2400.345,PILIBHIT,249,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,30,3382.497,3378.044,BIJNOR,276,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,30,3566.789,2394.749,KANPUR DEHAT,211,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,30,5061.568,1032.272,DEORIA,236,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,31,4182.45,1723.584,UNNAO,205,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,31,6339.817,2202.337,SONBHADRA,288,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,32,6064.522,4839.377,AGRA,260,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,33,6360.313,2518.398,SULTANPUR,223,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,34,6193.18,1566.09,KUSHI NAGAR,237,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,34,6559.498,1493.287,GORAKHPUR,240,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,35,5784.231,2019.369,MIRZAPUR,232,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,38,5260.407,2410.46,RAI BARELI,204,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,42,7190.465,1862.87,ALLAHABAD,220,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,43,3307.035,3379.267,HARDOI,206,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,43,6640.899,2611.704,GONDA,243,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,45,3071.211,3010.898,SHAHJAHANPUR,252,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,45,8416.447,2070.105,GHAZIPUR,234,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,46,14568.096,5631.687,GHAZIABAD,269,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,48,4234.832,3609.767,KHERI,247,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,49,4704.427,4693.139,MUZAFFARNAGAR,272,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,50,4574.355,7142.415,MATHURA,262,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,51,10897.153,2914.587,LUCKNOW,200,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,54,5709.495,6428.944,MEERUT,270,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,58,15221.496,2332.031,JAUNPUR,228,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,60,6499.89,8164.852,SAHARANPUR,274,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,64,6334.912,5147.227,BULANDSHAHR,268,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Rural,79,14642.079,2731.805,AZAMGARH,226,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,2,385.572,23.783,SIDHARTHANAGAR,257,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,3,579.207,214.942,KANPUR NAGAR,210,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,4,858.819,597.91,ETAH,266,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,4,897.539,263.72,ETAWAH,256,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,4,1094.957,376.007,LUCKNOW,200,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,4,1218.227,434.968,MAINPURI,258,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,5,756.217,304.112,LALITPUR,213,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,5,859.759,629.965,BANDA,218,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,5,1153.199,422.055,SULTANPUR,223,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,5,1273.322,554.34,SHRAVASTI,246,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,5,1639.16,509.439,FARRUKHABAD,254,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,5,1833.722,329.145,SANT KABIR NAGAR,227,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,6,1260.415,397.426,GONDA,243,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,6,1899.556,561.349,VARANASI,230,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,6,1910.233,678.09,HAMIRPUR,216,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,6,2234.625,320.895,MAU,253,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,6,3940.358,626.577,GAUTAM BUDDHA NAGAR,271,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,7,982.837,579.711,BAHRAICH,244,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,7,1078.285,357.394,CHITRAKOOT,207,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,7,1429.578,269.08,KAUSHAMBI,221,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,7,1528.873,666.162,FATEHPUR,208,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,8,1473.002,179.077,GORAKHPUR,240,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,8,1697.207,615.552,MIRZAPUR,232,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,8,2211.843,1211.642,MAHOBA,217,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,9,883.823,576.167,RAMPUR,280,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,9,1810.094,1352.683,PILIBHIT,249,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,10,1771.711,1973.469,HATHRAS,263,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,10,3305.581,546.429,BALLIA,235,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,11,1706.235,633.458,UNNAO,205,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,11,2413.308,441.683,FAIZABAD,224,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,11,2599.135,644.393,MAHARAJGANJ,225,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,11,3623.664,919.372,DEORIA,236,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,11,4454.426,803.936,PRATAPGARH,222,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,1616.65,593.321,KANPUR DEHAT,211,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,1838.113,854.814,SITAPUR,245,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,1937.878,851.218,JYOTIBA PHULE NAGAR,279,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,2370.426,911.586,ALIGARH,264,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,2434.147,898.164,RAI BARELI,204,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,2664.128,454.331,AURAIYA,259,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,12,2905.136,1062.242,KANSHIRAM NAGAR,299,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,13,1815.319,710.486,MORADABAD,278,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,13,2226.784,1665.883,JALAUN,212,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,13,2465.373,1574.549,SHAHJAHANPUR,252,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,13,4732.894,657.202,JAUNPUR,228,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,14,3077.464,1713.268,HARDOI,206,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,14,3302.083,908.497,AMBEDKAR NAGAR,215,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,14,3960.613,787.427,BALRAMPUR,241,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,15,3579.872,1330.344,JHANSI,214,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,15,4388.321,732.573,ALLAHABAD,220,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,15,5553.454,1406.072,CHANDAULI,229,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,15,5559.092,796.135,KUSHI NAGAR,237,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,17,5084.548,2907.819,FIROZABAD,203,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,17,15445.879,1620.893,SONBHADRA,288,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,18,3989.545,2117.027,KANAUJ,255,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,18,7310.231,3356.011,SANT RAVIDAS NAGAR,231,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,19,2550.596,1253.06,BUDAUN,267,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,19,4753.573,1944.284,GHAZIABAD,269,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,20,3058.812,2523.891,KHERI,247,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,20,3415.901,2433.555,AGRA,260,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,22,7340.752,1533.065,GHAZIPUR,234,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,24,3549.693,1814.212,BAREILLY,250,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,25,4302.168,3877.622,SAHARANPUR,274,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,26,5335.739,3646.098,MEERUT,270,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,27,7640.438,3676.51,BAGHPAT,275,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,28,6218.8,3152.574,MATHURA,262,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,30,7575.568,3249.301,BARA BANKI,202,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,31,12129.325,2334.852,AZAMGARH,226,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,32,9186.056,4109.603,BULANDSHAHR,268,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,47,9873.221,7754.549,MUZAFFARNAGAR,272,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Semi-urban,56,18058.284,12999.633,BIJNOR,276,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Urban,6,3653.967,379.272,BANDA,218,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Urban,8,3027.672,446.501,FATEHPUR,208,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Urban,8,3842.047,1544.007,MAINPURI,258,2001
2009-10:Q3,CENTRAL REGION,UTTAR PRADESH,NATIONALISED BANKS,Urban,9,3423.053,776.028,ETAH,266,2001
